,Layer,Mult,Pos,Average,Matching,Not Matching
228,20,0.1,-10,0.58307534,0.3841408,0.30762675
229,20,0.5,-10,0.5824217,0.38303754,0.30752546
230,20,1.0,-10,0.5807219,0.37898183,0.30695954
231,22,-1.0,-3,0.56131244,0.26547387,0.25795364
232,22,-0.5,-3,0.57304305,0.3193678,0.2819535
233,22,-0.1,-3,0.58144957,0.37139562,0.30293456
234,22,0.0,-3,0.5831409,0.38425878,0.307647
235,22,0.1,-3,0.5846831,0.39644492,0.31189558
236,22,0.5,-3,0.5903963,0.43578488,0.32404023
237,22,1.0,-3,0.5945266,0.47762257,0.34100333
238,22,-1.0,-5,0.57497954,0.30259112,0.27584085
239,22,-0.5,-5,0.5797765,0.34405223,0.2923821
240,22,-0.1,-5,0.5825715,0.37682548,0.30485755
241,22,0.0,-5,0.5831409,0.38425878,0.307647
242,22,0.1,-5,0.5836666,0.39123547,0.31025627
243,22,0.5,-5,0.58547,0.41378063,0.31870344
244,22,1.0,-5,0.5866407,0.43056348,0.32647952
245,22,-1.0,-10,0.58210564,0.3568153,0.29591134
246,22,-0.5,-10,0.58300716,0.3713474,0.30189082
247,22,-0.1,-10,0.5831723,0.38189277,0.30654287
248,22,0.0,-10,0.5831409,0.38425878,0.307647
249,22,0.1,-10,0.58308226,0.38649112,0.30871987
250,22,0.5,-10,0.5826072,0.3938928,0.31261808
251,22,1.0,-10,0.58153266,0.39920738,0.31647146
252,24,-1.0,-3,0.55314577,0.22937135,0.2398896
253,24,-0.5,-3,0.5728277,0.3130191,0.27722064
254,24,-0.1,-3,0.5814378,0.37145257,0.30240813
255,24,0.0,-3,0.5831409,0.38425878,0.307647
256,24,0.1,-3,0.58479327,0.39589232,0.31219542
257,24,0.5,-3,0.5910994,0.43067145,0.3242682
258,24,1.0,-3,0.59426194,0.46979675,0.3413623
259,24,-1.0,-5,0.57144934,0.29156518,0.2664018
260,24,-0.5,-5,0.5793357,0.34188852,0.28836948
261,24,-0.1,-5,0.5825367,0.37673128,0.30417833
262,24,0.0,-5,0.5831409,0.38425878,0.307647
263,24,0.1,-5,0.58370256,0.3911852,0.31086162
264,24,0.5,-5,0.5855537,0.41232508,0.32113624
265,24,1.0,-5,0.5859477,0.4261018,0.33066925
266,24,-1.0,-10,0.5823121,0.34851578,0.28944883
267,24,-0.5,-10,0.583133,0.36836156,0.29904327
268,24,-0.1,-10,0.5831851,0.38144332,0.30603412
269,24,0.0,-10,0.5831409,0.38425878,0.307647
270,24,0.1,-10,0.5830793,0.38687813,0.30919784
271,24,0.5,-10,0.58267343,0.39530075,0.3147426
272,24,1.0,-10,0.58180094,0.40110388,0.32020938
273,26,-1.0,-3,0.53849834,0.1848857,0.2256975
274,26,-0.5,-3,0.56505454,0.29176491,0.27515644
275,26,-0.1,-3,0.58071685,0.36955032,0.3024926
276,26,0.0,-3,0.5831409,0.38425878,0.307647
277,26,0.1,-3,0.58516467,0.3971331,0.31225905
278,26,0.5,-3,0.59061515,0.43651932,0.32748568
279,26,1.0,-3,0.5923885,0.48276532,0.34919563
280,26,-1.0,-5,0.5585459,0.25800502,0.25727716
281,26,-0.5,-5,0.5740902,0.32960418,0.2873661
282,26,-0.1,-5,0.58186555,0.37505206,0.30415785
283,26,0.0,-5,0.5831409,0.38425878,0.307647
284,26,0.1,-5,0.5841954,0.3926502,0.31092805
285,26,0.5,-5,0.58666635,0.419579,0.3225893
286,26,1.0,-5,0.58672535,0.44547218,0.33660796
287,26,-1.0,-10,0.5764752,0.3304092,0.2859378
288,26,-0.5,-10,0.5806448,0.36013204,0.29770297
289,26,-0.1,-10,0.5827592,0.37989113,0.30578193
290,26,0.0,-10,0.5831409,0.38425878,0.307647
291,26,0.1,-10,0.5834708,0.38840416,0.30945748
292,26,0.5,-10,0.5843304,0.4029045,0.31621554
293,26,1.0,-10,0.58455354,0.4170419,0.32383823
294,28,-1.0,-3,0.5451951,0.18409137,0.20916164
